DOI,Author,Title,Year,Source,Volume,Number,Pages,Url,Affiliations,Abstract,Keywords,Author Keywords,PMID,Source Abbrev,Total Citation Count,SJR,H index,Org QS,Database,Searching Keyword,Title Frequency,Abstract Frequency,DB Keyword Frequency,Author Keyword Frequency,Local Citation Count,Global Citation Count,Full Text Frequency
"10.1045/may2014-cooper","Cooper, Jason L. and Knight, Jon P.","Evaluating possible uses of a Raspberry Pi in an academic library environment","2014","D-Lib Magazine","20","5-6","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904684080&doi=10.1045%2fmay2014-cooper&partnerID=40&md5=348c437c6626852ff58b61ffcd4950bb","Loughborough University, United Kingdom","Loughborough University's Library Systems Team investigated two potential uses for Raspberry Pis. The first use to be identified for investigation was using the Raspberry Pi as a replacement for the existing OPAC hardware. While it met a majority of the requirements there were issues with the responsiveness to user input at certain times. The second use for Raspberry Pis investigated was to provide a number of digital signs to display details about resource bookings and the availability of PCs in IT labs around campus. The Raspberry Pi demonstrated that it was ideally suited to this task. © 2014 Reinaldo A. Bergamaschi, Henrique P. de Oliveira, Akihito Kumon Jr. and Rodrigo C. Rezende.","NA","NA","NA","D-Lib Mag.","3","0.208","55","231","Scopus","raspberry pi","0","0","0","0","0","3","45"
"10.1109/INFOTEH.2018.8345544","Lekić, Milica and Gardašević, Gordana","IoT sensor integration to Node-RED platform","2018","2018 17th International Symposium on INFOTEH-JAHORINA, INFOTEH 2018 - Proceedings","2018-January","NA","1 – 5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050939004&doi=10.1109%2fINFOTEH.2018.8345544&partnerID=40&md5=75f58c7e7329627fdfac45810ed5fc4d","Department of Telecommunications, Faculty of Electrical Engineering, University of Banja Luka, Banja Luka, Bosnia and Herzegovina","This paper presents the implementation of an Internet of Things (IoT) application that performs the temperature and humidity sensing using DHT11 sensor on Raspberry Pi, and data transfer to the Cloud of the IBM Bluemix. The implementation is done using programming system Raspbian Stretch Lite on Raspberry Pi and IBM Internet of Things platform based on the Node-RED tool installed on the Raspberry Pi and the IBM Cloud. © 2018 IEEE.","data transfer; distributed computer systems; humidity sensors; internet of things (iot); node-red; programming system; raspberry pi; raspbian; sensor integration; temperature and humidities; internet of things","dht11 sensor; iot; node-red; raspberry pi","NA","Int. Symp. INFOTEH-JAHORINA, INFOTEH - Proc.","73","NA","NA","NA","Scopus","raspberry pi","0","0","1","1","0","73","28"
"10.1109/ISCAIE.2018.8405450","Samsudin, Muhamad Fazril Afif and Mohamad, Roslina and Suliman, Saiful Izwan and Anas, Nuzli Mohamad and Mohamad, Hafizal","Implementation of wireless temperature and humidity monitoring on an embedded device","2018","ISCAIE 2018 - 2018 IEEE Symposium on Computer Applications and Industrial Electronics","NA","NA","90 – 95","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050692768&doi=10.1109%2fISCAIE.2018.8405450&partnerID=40&md5=9e1bfc5590a5072337f5ac226fee71e3","Faculty of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia; Wireless Innovation, MIMOS Berhad, Bukit Jalil, Kuala Lumpur, Malaysia","This paper presents an implementation of wireless temperature and humidity monitoring on a Raspberry Pi. The objective of this project is to design a monitoring temperature and humidity reading kit which implemented on Raspberry Pi. The study focuses on the embedded project for sensing the temperature and humidity in room and library area. The method of analysis is performed on Raspberry Pi implementation with interfacing of a web server, Thingspeak that has an API and posting and reviewing the data to the channel. Python language is encoded in Raspberry Pi Linux OS with DHT11 temperature and humidity sensor for retrieving the data. Hence, the temperature and humidity reading implemented on Raspberry Pi has been designed and it can be concluded that the increasing in temperature indicates to decreasing of humidity levels based on the result collected. © 2018 IEEE.","computer operating systems; radio; web services; embedded device; humidity levels; method of analysis; python language; raspberry pi; temperature and humidities; temperature and humidity sensor; web servers; industrial electronics","raspberry pi; temperature and humidity reading; web server; wireless","NA","ISCAIE - IEEE Symp. Comput. Appl. Ind. Electron.","3","0.195","11","651-700","Scopus","raspberry pi","0","0","1","1","0","3","23"
"10.1109/ICCCEEE46830.2019.9071087","Mohamed, Ali Mohamed AbdElrahim and Abuelgasim, Ahmed Elmustafa","Controlling drone-using IOT platform","2019","Proceedings of the International Conference on Computer, Control, Electrical, and Electronics Engineering 2019, ICCCEEE 2019","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084285815&doi=10.1109%2fICCCEEE46830.2019.9071087&partnerID=40&md5=4a6ed88a7b354195677b81a4e2e9d874","University of Garden City, Dept. of Electronic and Computer Engineering, Khartoum, Sudan","the main role of this work is to achieve internet of things on a drone model by adding a simple and capable to improvement processing unit on the Drone model. An internet of things based drone model is implemented. The Raspberry Pi plays the main role. The user communicates with the Raspberry over internet by virtual network computer viewer in order to send the commands to control the drone and get back data from the Raspberry. The Raspberry starts a python program that translates the commands given by the user and sends It to the assigned GPIO pin which sends the signal to the ESC to control the motors. The Raspberry Pi camera is used to send live video from the area of the drone to the user. © 2019 IEEE.","computer software; drones; internet of things; microcomputers; live video; processing units; virtual network computers; aircraft control","and control over internet; auto piloting; drones; internet of things; raspberry pi","NA","Proc. Int. Conf. Comput., Control, Electr., Electron. Eng., ICCCEEE","4","NA","NA","NA","Scopus","raspberry pi","0","0","0","1","0","4","30"
"10.1007/978-3-030-63128-4_17","Worsley, Kevin and Eddin, Anas Salah and Xiong, Jinjun and Hwu, Wen-mei and El-Hadedy, Mohamed","Performance Analysis of Computer Vision with Machine Learning Algorithms on Raspberry Pi 3","2021","Advances in Intelligent Systems and Computing","1288","NA","216 – 232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096505567&doi=10.1007%2f978-3-030-63128-4_17&partnerID=40&md5=6f1d721cabb2fd1ee95d2e33f1fd7e45","California State Polytechnic University Pomona, Pomona, 91768, CA, United States; Thomas J. Watson Research Center, Yorktown Heights, NY, United States; University of Illinois at Urbana-Champaign, Champaign, IL, United States","Computer vision is a dynamic field, with many applications in a wide variety of industries. Choosing a platform to deploy computer vision algorithms is a complex task, with a massive amount of choice, varying in operating system, computing power, and physical size. This paper aims to measure common computer vision algorithms on a Raspberry Pi 3, helping to clarify some performance measurements and provide a clearer image of the Raspberry Pi’s viability for common computer vision operations, as well as recommend some platforms for specific algorithms. © 2021, Springer Nature Switzerland AG.","computer operating systems; learning algorithms; machine learning; complex task; computer vision algorithms; computing power; dynamic fields; performance analysis; performance measurements; computer vision","computer vision; dlib; face detection; haar; object detection; performance; raspberry pi 3; yolo","NA","Adv. Intell. Sys. Comput.","2","0.215","48","82","Scopus","raspberry pi","0","0","0","1","0","2","18"
"10.1007/978-3-030-52988-8_18","Kristiani, Endah and Ko, Po-Cheng and Yang, Chao-Tung and Huang, Chin-Yin","An edge computing architecture for object detection","2020","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","317 LNICST","NA","201 – 209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089719771&doi=10.1007%2f978-3-030-52988-8_18&partnerID=40&md5=a865e8b0fb33842bd413de420b6808a0","Department of Industrial Engineering and Enterprise Information, Tunghai University, Taichung City, Taiwan; Department of Informatics, Krida Wacana Christian University, Jakarta, Indonesia; Department of Computer Science, Tunghai University, Taichung City, Taiwan","Edge computing services are contingent on several constraints. There is a requirement needed to provide a proper function, such as low latency, low energy consumption, and high performance. Object detection analysis involves high power resources, it is because of the need to process the images or videos. In this paper, the architecture of edge computing for object recognition is proposed, and the performance of the edge node is examined. The resources performance comparison on Raspberry Pi and Neural Compute Stick are inspected. This study combined the Neural Compute Stick (NCS) to enhance the ability of image processing on Raspberry Pi. Through the aid of NCS, the Raspberry Pi’s frames per second (FPS) is increased by four times when the object detection program is executed, and the energy consumption of the Raspberry Pi is also recorded. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2020.","computer architecture; edge computing; energy utilization; image enhancement; internet; object recognition; computing architecture; computing services; edge nodes; high power; low energy consumption; low latency; performance comparison; s-frame; object detection","edge computing; neural compute stick; object detection; raspberry pi","NA","Lect. Notes Inst. Comput. Sci. Soc. Informatics Telecommun. Eng.","0","NA","NA","1201+","Scopus","raspberry pi","0","0","0","1","0","0","20"
"10.1080/02680513.2022.2118573","Gooch, Daniel and Rosewell, Jon and Leith, Douglas and Richards, Mike","Passive or active learning: the challenges of teaching distributed computing using Raspberry Pi clusters to open distance university students","2022","Open Learning","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138012600&doi=10.1080%2f02680513.2022.2118573&partnerID=40&md5=755009592456b26bb8a94ed873797262","School of Computing and Communications, The Open University, Milton Keynes, United Kingdom","Parallel and distributed computing (PDC) is now considered a threshold concept for computing, and is embedded in computing curricula across the globe. While the costs of traditional computing clusters have made developing practical activities challenging, the rise of low-cost computers, particularly the Raspberry Pi, has led to an exploration of how PDC can be taught to students using Raspberry Pi clusters. Building on this work, we report our experiences from developing a series of low-cost Raspberry Pi clusters for use with open distance university students. Based on survey results from 484 students, we argue that our work demonstrates the benefits that remote practical activities can have for teaching PDC concepts, as well as engaging students. We conclude with a discussion of two key challenges: supporting active learning through student-led programming on the clusters, and supporting lower-performing students at a distance. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","NA","cs education; distance learning; distributed architectures; parallel; raspberry pi cluster","NA","Open Learn.","0","0.588","36","NA","Scopus","raspberry pi","0","0","0","1","0","0","36"
"10.1109/ACC.2016.7526714","Krauss, Ryan","Combining Raspberry Pi and Arduino to form a low-cost, real-time autonomous vehicle platform","2016","Proceedings of the American Control Conference","2016-July","NA","6628 – 6633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992152294&doi=10.1109%2fACC.2016.7526714&partnerID=40&md5=2d6c401743312d4fa6e3c409f524ab1c","NA","This paper presents a novel, low-cost autonomous vehicle platform based on the combination of a Raspberry Pi mini-computer, an Arduino micro-controller, and a Zumo track-driven robot chassis. The Arduino allows the control law to be executed at hard real-time intervals while the Raspberry Pi provides additional computing power, a web interface, and wireless data-streaming for control tuning and debugging. The efficacy of the platform in controls education is assessed after using the platform for demonstration purposes in a first course on feedback control. The entire system including the Raspberry Pi and Arduino Uno costs roughly $215. ï¿½ 2016 American Automatic Control Council (AACC).","NA","NA","NA","Proc Am Control Conf","27","0.692","116","NA","Scopus","raspberry pi","0","0","0","0","1","26","31"
"10.1109/ICCCEEE.2018.8515817","Salih, Fatma and Mysoon Omer, S.A.","Raspberry pi as a Video Server","2018","2018 International Conference on Computer, Control, Electrical, and Electronics Engineering, ICCCEEE 2018","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057548357&doi=10.1109%2fICCCEEE.2018.8515817&partnerID=40&md5=36033099dc16c827a97c0d1b6c824db6","Dept. Computer Engineering, University of Gezira, Wad Madani, Sudan","The Use of Raspberry pi microcomputer nowadays is increasing rapidly in various applications and projects that require an acceptable software capability and an affordable one. One of the Raspberry pi applications is to use it as a video server. Real-time video servers are used in monitoring, as well as one-sided educational conferences. In this paper, an embedded LAN live real-time video/audio stream server is designed using the Raspberry pi programming and control capabilities. The video is captured through the Raspberry pi camera module port and is compressed and sent using a special standard that applies HTTP so that it can be received from the network. The audio is also captured using a microphone and sent with the RTP protocol. This system finds somehow solutions for high cost and complex video server systems as well as the mass storage used for such systems. This system uses a video stream of 800 × 400 at 24 frames per second. This paper recommends expanding the project to a WAN network. © 2018 IEEE.","http; microcomputers; camera modules; control capabilities; educational conference; frames per seconds; raspberry pi; raspbian; real time videos; software capability; application programs","http; microcomputer; raspberry pi; raspbian; rtp","NA","Int. Conf. Comput., Control, Electr., Electron. Eng., ICCCEEE","14","0.139","8","NA","Scopus","raspberry pi","1","4","1","1","0","14","46"
"10.12928/TELKOMNIKA.v15i4.6532","Annuar, K.A.M. and Ab Hadi, N.A. and Subramaniam, S.K. and Ab Halim, M.F.M. and Shah, M.B.N. and Kadmin, A.F. and Amri, M.S. and Abdul Salam, A.","Intelligent image capturing alarm system using Raspberry Pi","2017","Telkomnika (Telecommunication Computing Electronics and Control)","15","4","1651 – 1658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040516785&doi=10.12928%2fTELKOMNIKA.v15i4.6532&partnerID=40&md5=6bb92a2dacb02da5510c4c4673a6ae8f","Faculty of Engineering Technology, Universiti Teknikal Malaysia Melaka, Hang Tuah Jaya, Durian Tunggal, Melaka, 76100, Malaysia; Universiti Kuala Lumpur, British Malaysian Institute, Selangor, Malaysia","Home surveillance system assumes an essential part in this present day living style to help recognizing illegal activities. In this proposed paper, an intelligent image capturing alarm system to protect locker was developed. Raspberry Pi 2 is used as the main controller (server). At the point when any conceivable intrusion is identified, a webcam installed to Raspberry Pi 2 will capture the picture of the intruder. In the meantime, the spotlight or light of the house which represented by an LED will be turned """"ON"""" alongside an alarm sound from a buzzer which is fixed as an output. Taking everything into account, this improvement offers reasonable and easy to use surveillance alarm system.","NA","image capturing; locker; pir sensor; raspberry pi","NA","Telkomnika Telecomun. Compt. Electr. Control","2","0.314","22","NA","Scopus","raspberry pi","0","0","0","1","0","2","27"
"10.1007/978-3-030-01057-7_9","Kim, Pyeong Kang and Kim, Hyung Heon and Kim, Tae Woo and Lee, Yu Na","The intelligent system design for eliminating blind spots of ptz controlled cctv with raspberry pi and multiple pi cameras","2018","Advances in Intelligent Systems and Computing","869","NA","107 – 112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060465176&doi=10.1007%2f978-3-030-01057-7_9&partnerID=40&md5=9cab38c3eb88a0376247724c44250060","Technology Laboratory, Innodep. Inc, Seoul, South Korea",". Intelligent system design for eliminating blind spot of PTZ-controlled CCTV is presented. In nature, PTZ camera cannot monitor every direction. So, there is a possibility of missing objects in other direction. So, our system adopts a raspberry pi for analysis of videos and 4 pi cameras to view all directions. The system carries out foreground segmentation and object tracking by Kalman filter. It counts objects in all videos of pi cameras. It recommends priority to existing main camera with results given by analysis. It is expected to contribute to efficient monitoring in integrated centers. © Springer Nature Switzerland AG 2019.","intelligent systems; systems analysis; foreground segmentation; multiple cameras; object counting; ptz camera; raspberry pi; cameras","foreground segmentation; multiple cameras; object counting; ptz camera; raspberry pi","NA","Adv. Intell. Sys. Comput.","1","0.215","48","NA","Scopus","raspberry pi","1","1","1","1","0","1","6"
"10.1007/978-3-031-20834-8_10","Zubov, Dmytro and Kupin, Andrey","Performance Evaluation of Raspberry Pi 4B Microcomputer: Case Studies on MPICH Cluster, VMware ESXi ARM Fling, and Windows 11 ARM OS","2022","Communications in Computer and Information Science","1698 CCIS","NA","203 – 225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145181319&doi=10.1007%2f978-3-031-20834-8_10&partnerID=40&md5=c591936f7029c8002501823e1c9b5e9a","University of Central Asia, 138 Toktogul Street, Bishkek, 720001, Kyrgyzstan; Kryvyi Rih National University, 11 Matusevycha Street, Kryvyi Rih, 50027, Ukraine","The performance of the Raspberry Pi 4B computer was evaluated for three cases. First, a Raspberry Pi heterogeneous MPICH cluster with weight-based load balancing and fuzzy estimation of node computational performance was designed. Fuzzification, formation of fuzzy rules, fuzzy inference, and defuzzification were employed to determine the performance weights. In the cluster with two Raspberry Pi 4B boards with 2 GB RAM and Raspberry Pi 64-bit OS and one Raspberry Pi 3B board with 1 GB RAM and Raspberry Pi 32-bit OS, the recommended performance weights are (5, 5, 1), respectively. The developed Python program for the prime numbers finding algorithm employs the proposed weight-based load balancing, which is approximately five times faster than the basic algorithm with equal loading for the maximum integer of 300000. Second, the MPICH cluster with two nodes in two virtual machines located on two different Raspberry Pi 4B boards with Ubuntu Server for ARM on the hypervisor VMware ESXi ARM Fling shows the mean signed deviation −34.01 s regarding the Raspberry Pi 64-bit OS for the maximum integer of 300000. Third, the performance of the Raspberry Pi 4B 8 GB computer with Windows 11 ARM OS was compared with the laptop Lenovo G510 with Intel Core i7-4700MQ and Windows 10 64-bit OS using the combinatorial optimization algorithm implemented in the 32-bit Windows app. The Raspberry Pi 4B 8 GB consumed approximately six times more power. Thus, the Raspberry Pi 4B single-board computer is recommended for executing low-performance applications and/or short-term processing of high-performance tasks. © 2022, Springer Nature Switzerland AG.","arm processors; balancing; combinatorial optimization; fuzzy inference; linux; case-studies; fuzzy estimation; load-balancing; mpich cluster; performance; performances evaluation; raspberry pi; ubuntu server; vmware esxi arm fling; window 11 arm; windows operating system","mpich cluster; raspberry pi; ubuntu server; vmware esxi arm fling; windows 11 arm","NA","Commun. Comput. Info. Sci.","0","0.209","55","NA","Scopus","raspberry pi","0","0","1","1","0","0","132"
"10.1109/WIECON-ECE.2018.8782924","Maolanon, Pruttapon and Sukvichai, Kanianapan","Development of a Wearable Household Objects Finder and Localizer Device Using CNNs on Raspberry Pi 3","2018","2018 IEEE International WIE Conference on Electrical and Computer Engineering, WIECON-ECE 2018","NA","NA","25 – 28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065417356&doi=10.1109%2fWIECON-ECE.2018.8782924&partnerID=40&md5=bd87e66addaa9d875e8fc3872389b6cb","Faculty of Engineering, Dept. of Electrical Engineering, Kasetsart University, Bangkok, Thailand","Aging society is the future for most of countries and it creates many issues for both elderly and other family members. Working age members have to work outside in the day time to get enough income for the family. Elderly are forced to live alone and facing a difficulty because they cannot see things clearly. In this research, Convolutional Neural Networks (CNNs) for household objects finder and localizer is proposed. Raspberry Pi 3 is used to create a wearable device for elderly to help see objects and tell the type and location of the objects via voice. YOLO neuron network is selected because of the speed and resource consumption. Data set of household objects images was prepared and fed into YOLO network as training inputs. Training process is done on a desktop computer before transferred into Raspberry Pi 3. Trained YOLO can classify and local several objects in the same time with accuracy of 83%. By using PeachPy and NEON instruction set for compiling YOLO in ARM environment, the speed of detection and localization in Raspberry Pi 3 equals to 0.8 seconds per image. Prototype of wearable device is built by using a camera, headphone, push switch, battery and Raspberry Pi 3. Device will capture an image when a push switch is pressed and Raspberry Pi returns pre-recorded voice results consist of objects types and their locations through headphone to elderly. © 2018 IEEE.","neural networks; professional aspects; cnns; convolutional neural network; detection and localization; household objects; resource consumption; training process; wearable devices; yolo; wearable technology","classification and localization; cnns; household objects; raspberry pi; yolo","NA","IEEE Int. WIE Conf. Electr. Comput. Eng., WIECON-ECE","6","0.111","3","801-1000","Scopus","raspberry pi","0","0","0","1","0","6","31"
"10.1109/CarpathianCC.2019.8765972","Apostol, Marcin and Kaczmarczyk, Grzegorz and Tkaczyk, Kamil","SCARA robot control based on Raspberry Pi","2019","Proceedings of the 2019 20th International Carpathian Control Conference, ICCC 2019","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069801228&doi=10.1109%2fCarpathianCC.2019.8765972&partnerID=40&md5=15366389655380aa830dcadcf36d4904","Faculty of Mechanical Engineering and Robotics, AGH University of Science and Technology, Krakow, Poland","The article presents a construction project of a SCARA robot with a control system based on a Raspberry Pi microcontroller. The structure and exemplary results of strength analysis of some parts are presented. Reverse kinematics calculations were presented and the working space was determined. Control algorithm, its possibilities and ways of modification are described. © 2019 IEEE.","control engineering; manipulators; microcontrollers; robot applications; robotic arms; construction projects; robot manipulator; scara robot; strength analysis; working space; controllers","control; raspberry pi microcontroller; robot manipulator","NA","Proc. Int. Carpathian Control Conf., ICCC","2","0.180","5","801-1000","Scopus","raspberry pi","0","0","0","1","0","2","15"
"10.1109/ICCIS53528.2021.9645981","Yumang, Analyn N. and Banguilan, Dave Emilson S. and Veneracion, Clark Kent S.","Raspberry PI based Food Recognition for Visually Impaired using YOLO Algorithm","2021","2021 5th International Conference on Communication and Information Systems, ICCIS 2021","NA","NA","165 – 169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124084701&doi=10.1109%2fICCIS53528.2021.9645981&partnerID=40&md5=b47295a9ecfcad137d00954a8230e95e","Mapúa University, School of EECE, Manila, Philippines","A person is considered visually impaired if the person has partial vision or zero visibility at all. Visual impairment is one of the common problems that affect the quality of a person's life, we rely on our eyes on a day-To-day basis. This study presents a wearable Raspberry Pi-based food recognition using the You Only Look Once (YOLO) algorithm. A Raspberry Pi was programmed to detect 25 kinds of Filipino foods. The hardware used is composed of Raspberry Pi, a Camera Module, Earphones, and an external battery. The device was able to recognize 25 different common Filipino foods with high accuracy and it was able to calculate the food's distance from the user with a different margin of as low as 0.1 to 0.9 inches. © 2021 IEEE.","camera modules; filipino food; high-accuracy; raspberry pi; visual impairment; visually impaired; you only look once algorithm; ophthalmology","filipino foods; raspberry pi; visual impairment; yolo algorithm","NA","Int. Conf. Commun. Inf. Syst., ICCIS","3","NA","NA","NA","Scopus","raspberry pi","0","0","1","1","0","3","NA"
"10.1117/12.2633186","Luis, Magaña Chavéz José and Eloísa, Balderas Mata Sandra and David, Serrano-García I. and Joel, Cervantes L.","Preliminary results of the implementation of a low-cost Shack-Hartmann wavefront sensor","2022","Proceedings of SPIE - The International Society for Optical Engineering","12233","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141939380&doi=10.1117%2f12.2633186&partnerID=40&md5=989e71633a21512f96980697ab2a5e2a","Universidad de Guadalajara, Centro Universitario de Ciencias Exactas e Ingeniería, Mexico","In this paper, we show the results and feasibility of a designed software for obtaining and graphing aberrations in 2D, and the post-processing necessary for the detection of the centroids. This software is designed to be used in low-cost and highly affordable commercial devices such as Raspberry pi and Raspberry pi HQ Camera. Preliminary results will also be presented. © 2022 SPIE.","aberrometers; commercial devices; low-costs; post-processing; raspberry pi; shack-hartmann; shack-hartmann wavefront sensors; zernike polynomials; costs","aberrometer; raspberry pi; shack-hartmann; zernike polynomials","NA","Proc SPIE Int Soc Opt Eng","0","0.184","179","NA","Scopus","raspberry pi","0","2","1","1","0","0","7"
"10.3390/fi14080220","James, Nicholas and Ong, Lee-Yeng and Leow, Meng-Chew","Exploring Distributed Deep Learning Inference Using Raspberry Pi Spark Cluster","2022","Future Internet","14","8","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136797424&doi=10.3390%2ffi14080220&partnerID=40&md5=7595c94145774b6d40cf3297b1b44660","Faculty of Information Science and Technology, Multimedia University, Melaka, 75450, Malaysia","Raspberry Pi (Pi) is a versatile general-purpose embedded computing device that can be used for both machine learning (ML) and deep learning (DL) inference applications such as face detection. This study trials the use of a Pi Spark cluster for distributed inference in TensorFlow. Specifically, it investigates the performance difference between a 2-node Pi 4B Spark cluster and other systems, including a single Pi 4B and a mid-end desktop computer. Enhancements for the Pi 4B were studied and compared against the Spark cluster to identify the more effective method in increasing the Pi 4B’s DL performance. Three experiments involving DL inference, which in turn involve image classification and face detection tasks, were carried out. Results showed that enhancing the Pi 4B was faster than using a cluster as there was no significant performance difference between using the cluster and a single Pi 4B. The difference between the mid-end computer and a single Pi 4B was between 6 and 15 times in the experiments. In the meantime, enhancing the Pi 4B is the more effective approach for increasing the DL performance, and more work needs to be done for scalable distributed DL inference to eventuate. © 2022 by the authors.","deep learning; learning systems; cluster; deep learning; faces detection; inference; learning performance; machine learning; machine-learning; performance; raspberry pi (pi); tensorflow; face recognition","cluster; deep learning (dl); inference; machine learning (ml); model; raspberry pi (pi); spark; tensorflow","NA","Future Internet","2","0.793","38","NA","Scopus","raspberry pi","0","0","1","1","0","2","37"
"10.5860/crln.79.11.613","Deardorff, Ariel and Romero, Dylan","From python to raspberry pi: Celebrating pi day with data science","2018","College and Research Libraries News","79","11","613 – 628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059765242&doi=10.5860%2fcrln.79.11.613&partnerID=40&md5=bb5cd06a2d1828b410758b4e07d58ba6","University of California-San Francisco, United States","NA","NA","NA","NA","Coll. Res. Libr. News","0","0.242","23","NA","Scopus","raspberry pi","1","0","0","0","0","0","13"
"10.1109/ICCSE.2015.7250254","Byrne, J.R. and Fisher, L. and Tangney, B.","Computer science teacher reactions towards raspberry Pi Continuing Professional Development (CPD) workshops using the Bridge21 model","2015","10th International Conference on Computer Science and Education, ICCSE 2015","NA","NA","267 – 272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957900651&doi=10.1109%2fICCSE.2015.7250254&partnerID=40&md5=1214654cf6b14ee19b3a579812711b9d","Centre for Research in IT in Education, School of Education, School of Computer Science and Statistics, Trinity College Dublin, Dublin, Ireland","This paper describes in-service post-primary school teacher reactions towards the provision of a Raspberry Pi Continuing Professional Development (CPD) Programme designed to build capacity in python programming, circuitry and hardware configuration. The Bridge21 social constructivist model of teaching and learning was used for workshop delivery, and teachers were encouraged to use the same model to enhance Raspberry Pi delivery on return to the classroom. This paper presents results from the analysis of four (N = 4) one day Bridge21 Raspberry Pi CPD workshops delivered in the authors' home institution over the 2013/2014 academic year. This paper examines teacher reactions towards the use of the Bridge21 model for learning about using the Raspberry Pi. The authors' administered a mixed methods evaluation instrument to a self-selecting sample of N = 61 teachers to capture reactions towards use of the Bridge21 model for Raspberry Pi CPD delivery. Qualitative coding of text responses combined with statistical analysis of Likert scales gathered from the evaluation instrument indicate that (a) teacher reactions towards the use of the Bridge21 model for learning Raspberry Pi technologies was positive and (b) teachers intended to use the same model to enhance their own Raspberry Pi delivery in the school classroom. © 2015 IEEE.","education; education computing; engineering education; professional aspects; capture reaction; computer science teachers; constructivist learning; continuing professional development; hardware configurations; primary schools; python programming; teaching and learning; teaching","post primary teacher continuing professional development; raspberry pi; social constructivist learning model","NA","Int. Conf. Comput. Sci. Educ.","9","0.123","9","NA","Scopus","raspberry pi","0","0","0","1","2","7","75"
"10.1109/ICCE-ASIA.2018.8552153","Petchsom, Nuttasit and Pora, Wanchalerm","Development of a Gateway for OpenADR-ECHONET Lite Protocols with Raspberry Pi Board","2018","2018 IEEE International Conference on Consumer Electronics - Asia, ICCE-Asia 2018","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060019355&doi=10.1109%2fICCE-ASIA.2018.8552153&partnerID=40&md5=bc17c4eb58e0b7384f5e45ec1c8fd348","Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Embedded System Robotics Lab, Phayathai Road, Bangkok, 10330, Thailand","In this paper, we develop an ECHONET-Lite gateway on a Raspberry Pi 3 board. It controls ECHONET-Lite devices which usually are electrical appliances in a household or small building. On the other side of the gateway, it acts as a VEN, which responses with a VTN using the OpenADR protocol. Simulation results show that VTN from the OpenADR Alliance can communicate with our VEN and the appliances such as air-conditioners are controlled accordingly with ECHONET-Lite commands. © 2018 IEEE.","air conditioning; smart power grids; echonet; electrical appliances; openadr; raspberry pi; small buildings; gateways (computer networks)","echonet lite; gateway; openadr; raspberry pi 3","NA","IEEE Int. Conf. Consum. Electron. - Asia, ICCE-Asia","1","0.156","5","215","Scopus","raspberry pi","0","0","1","1","0","1","8"
