DOI,MLA,APA,Chicago,Harvard,Vancouver
"10.1109/TENCON.2016.7848401","Cruz, Febus Reidj G., et al. “Iris Recognition Using Daugman Algorithm on Raspberry Pi.” 2016 IEEE Region 10 Conference (TENCON), IEEE, Nov. 2016. Crossref, https://doi.org/10.1109/tencon.2016.7848401.","Cruz, F. R. G., Hortinela, C. C., Redosendo, B. E., Asuncion, B. K. P., Leoncio, C. J. S., Linsangan, N. B., & Chung, W.-Y. (2016). Iris Recognition using Daugman algorithm on Raspberry Pi. In 2016 IEEE Region 10 Conference (TENCON). TENCON 2016 - 2016 IEEE Region 10 Conference. IEEE. https://doi.org/10.1109/tencon.2016.7848401","Cruz, Febus Reidj G., Carlos C. Hortinela, Benner E. Redosendo, Bianca Karla P. Asuncion, Christian Jay S. Leoncio, Noel B. Linsangan, and Wen-Yaw Chung. 2016. “Iris Recognition Using Daugman Algorithm on Raspberry Pi.” 2016 IEEE Region 10 Conference (TENCON). IEEE. https://doi.org/10.1109/tencon.2016.7848401.","Cruz, F.R.G. et al. (2016) “Iris Recognition using Daugman algorithm on Raspberry Pi,” 2016 IEEE Region 10 Conference (TENCON). TENCON 2016 - 2016 IEEE Region 10 Conference, IEEE. Available at: https://doi.org/10.1109/tencon.2016.7848401.","Cruz FRG, Hortinela CC, Redosendo BE, Asuncion BKP, Leoncio CJS, Linsangan NB, et al. Iris Recognition using Daugman algorithm on Raspberry Pi. 2016 IEEE Region 10 Conference (TENCON) 2016. https://doi.org/10.1109/tencon.2016.7848401."
"10.1109/EEAE53789.2022.9831250","Hinov, Nikolay, and Filip Krastev. “Identification, Vulnerability Research and Cybersecurity of Raspberry Pi Devices.” 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&amp;AE), IEEE, 30 June 2022. Crossref, https://doi.org/10.1109/eeae53789.2022.9831250.","Hinov, N., & Krastev, F. (2022). Identification, Vulnerability Research and Cybersecurity of Raspberry Pi Devices. In 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&amp;AE). 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&AE). IEEE. https://doi.org/10.1109/eeae53789.2022.9831250","Hinov, Nikolay, and Filip Krastev. 2022. “Identification, Vulnerability Research and Cybersecurity of Raspberry Pi Devices.” 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&amp;AE). IEEE. https://doi.org/10.1109/eeae53789.2022.9831250.","Hinov, N. and Krastev, F. (2022) “Identification, Vulnerability Research and Cybersecurity of Raspberry Pi Devices,” 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&amp;AE). 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&AE), IEEE. Available at: https://doi.org/10.1109/eeae53789.2022.9831250.","Hinov N, Krastev F. Identification, Vulnerability Research and Cybersecurity of Raspberry Pi Devices. 2022 8th International Conference on Energy Efficiency and Agricultural Engineering (EE&amp;AE) 2022. https://doi.org/10.1109/eeae53789.2022.9831250."
"10.1109/ICATCCT.2017.8389134","Kodali, Ravi Kishore, and Venkata Sundeep Kumar Gorantla. “Weather Tracking System Using MQTT and SQLite.” 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT), IEEE, Dec. 2017. Crossref, https://doi.org/10.1109/icatcct.2017.8389134.","Kodali, R. K., & Gorantla, V. S. K. (2017). Weather tracking system using MQTT and SQLite. In 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT). 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT). IEEE. https://doi.org/10.1109/icatcct.2017.8389134","Kodali, Ravi Kishore, and Venkata Sundeep Kumar Gorantla. 2017. “Weather Tracking System Using MQTT and SQLite.” 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT). IEEE. https://doi.org/10.1109/icatcct.2017.8389134.","Kodali, R.K. and Gorantla, V.S.K. (2017) “Weather tracking system using MQTT and SQLite,” 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT). 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT), IEEE. Available at: https://doi.org/10.1109/icatcct.2017.8389134.","Kodali RK, Gorantla VSK. Weather tracking system using MQTT and SQLite. 2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT) 2017. https://doi.org/10.1109/icatcct.2017.8389134."
"10.1109/REDW56037.2022.9921679","Guertin, Steven M., et al. “Raspberry Pi Zero and 3B+ SEE and TID Test Results.” 2022 IEEE Radiation Effects Data Workshop (REDW) (in Conjunction with 2022 NSREC), IEEE, July 2022. Crossref, https://doi.org/10.1109/redw56037.2022.9921679.","Guertin, S. M., Vartanian, S., & Daniel, A. C. (2022). Raspberry Pi Zero and 3B+ SEE and TID Test Results. In 2022 IEEE Radiation Effects Data Workshop (REDW) (in conjunction with 2022 NSREC). 2022 IEEE Radiation Effects Data Workshop (REDW) (in conjunction with 2022 NSREC). IEEE. https://doi.org/10.1109/redw56037.2022.9921679","Guertin, Steven M., Sergeh Vartanian, and Andrew C. Daniel. 2022. “Raspberry Pi Zero and 3B+ SEE and TID Test Results.” 2022 IEEE Radiation Effects Data Workshop (REDW) (in Conjunction with 2022 NSREC). IEEE. https://doi.org/10.1109/redw56037.2022.9921679.","Guertin, S.M., Vartanian, S. and Daniel, A.C. (2022) “Raspberry Pi Zero and 3B+ SEE and TID Test Results,” 2022 IEEE Radiation Effects Data Workshop (REDW) (in conjunction with 2022 NSREC). 2022 IEEE Radiation Effects Data Workshop (REDW) (in conjunction with 2022 NSREC), IEEE. Available at: https://doi.org/10.1109/redw56037.2022.9921679.","Guertin SM, Vartanian S, Daniel AC. Raspberry Pi Zero and 3B+ SEE and TID Test Results. 2022 IEEE Radiation Effects Data Workshop (REDW) (in Conjunction with 2022 NSREC) 2022. https://doi.org/10.1109/redw56037.2022.9921679."
"10.1109/ICITIIT54346.2022.9744152","Ellison Mathe, Sudha, et al. “A Survey of Agriculture Applications Utilizing Raspberry Pi.” 2022 International Conference on Innovative Trends in Information Technology (ICITIIT), IEEE, 12 Feb. 2022. Crossref, https://doi.org/10.1109/icitiit54346.2022.9744152.","Ellison Mathe, S., Bandaru, M., Kishan Kondaveeti, H., Vappangi, S., & Sanjiv Rao, G. (2022). A Survey of Agriculture Applications Utilizing Raspberry Pi. In 2022 International Conference on Innovative Trends in Information Technology (ICITIIT). 2022 International Conference on Innovative Trends in Information Technology (ICITIIT). IEEE. https://doi.org/10.1109/icitiit54346.2022.9744152","Ellison Mathe, Sudha, Mamatha Bandaru, Hari Kishan Kondaveeti, Suseela Vappangi, and G. Sanjiv Rao. 2022. “A Survey of Agriculture Applications Utilizing Raspberry Pi.” 2022 International Conference on Innovative Trends in Information Technology (ICITIIT). IEEE. https://doi.org/10.1109/icitiit54346.2022.9744152.","Ellison Mathe, S. et al. (2022) “A Survey of Agriculture Applications Utilizing Raspberry Pi,” 2022 International Conference on Innovative Trends in Information Technology (ICITIIT). 2022 International Conference on Innovative Trends in Information Technology (ICITIIT), IEEE. Available at: https://doi.org/10.1109/icitiit54346.2022.9744152.","Ellison Mathe S, Bandaru M, Kishan Kondaveeti H, Vappangi S, Sanjiv Rao G. A Survey of Agriculture Applications Utilizing Raspberry Pi. 2022 International Conference on Innovative Trends in Information Technology (ICITIIT) 2022. https://doi.org/10.1109/icitiit54346.2022.9744152."
"10.1109/IT-ELA50150.2020.9253107","Ahmed, Hanaa Mohsin, and Rana Talib Rasheed. “A Raspberry PI Real-Time Identification System on Face Recognition.” 2020 1st. Information Technology To Enhance e-Learning and Other Application (IT-ELA, IEEE, 12 July 2020. Crossref, https://doi.org/10.1109/it-ela50150.2020.9253107.","Ahmed, H. M., & Rasheed, R. T. (2020). A Raspberry PI Real-Time Identification System on Face Recognition. In 2020 1st. Information Technology To Enhance e-learning and Other Application (IT-ELA. 2020 1st. Information Technology To Enhance e-learning and Other Application (IT-ELA). IEEE. https://doi.org/10.1109/it-ela50150.2020.9253107","Ahmed, Hanaa Mohsin, and Rana Talib Rasheed. 2020. “A Raspberry PI Real-Time Identification System on Face Recognition.” 2020 1st. Information Technology To Enhance e-Learning and Other Application (IT-ELA. IEEE. https://doi.org/10.1109/it-ela50150.2020.9253107.","Ahmed, H.M. and Rasheed, R.T. (2020) “A Raspberry PI Real-Time Identification System on Face Recognition,” 2020 1st. Information Technology To Enhance e-learning and Other Application (IT-ELA. 2020 1st. Information Technology To Enhance e-learning and Other Application (IT-ELA), IEEE. Available at: https://doi.org/10.1109/it-ela50150.2020.9253107.","Ahmed HM, Rasheed RT. A Raspberry PI Real-Time Identification System on Face Recognition. 2020 1st Information Technology To Enhance e-Learning and Other Application (IT-ELA 2020. https://doi.org/10.1109/it-ela50150.2020.9253107."
"10.1063/5.0068732","Thien, Chuong Nguyen, et al. “Case Study of Face Detection Libraries on Raspberry Pi.” THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021, AIP Publishing, 2021. Crossref, https://doi.org/10.1063/5.0068732.","Thien, C. N., Tran, H. Q., Tien, L. H., & Le, P. X. (2021). Case study of face detection libraries on Raspberry Pi. In THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021. THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021. AIP Publishing. https://doi.org/10.1063/5.0068732","Thien, Chuong Nguyen, Huy Q. Tran, Le Hung Tien, and Phan Xuan Le. 2021. “Case Study of Face Detection Libraries on Raspberry Pi.” THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021. AIP Publishing. https://doi.org/10.1063/5.0068732.","Thien, C.N. et al. (2021) “Case study of face detection libraries on Raspberry Pi,” THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021. THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021, AIP Publishing. Available at: https://doi.org/10.1063/5.0068732.","Thien CN, Tran HQ, Tien LH, Le PX. Case study of face detection libraries on Raspberry Pi. THE 1ST INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMPUTING, ENGINEERING AND MATERIALS, 2021: ICEM, 2021 2021. https://doi.org/10.1063/5.0068732."
"10.1007/978-3-319-50340-0_23","Ursutiu, D., et al. “The Future of ‘Hardware – Software Reconfigurable.’” Interactive Collaborative Learning, Springer International Publishing, 2017, pp. 269–75. Crossref, https://doi.org/10.1007/978-3-319-50340-0_23.","Ursutiu, D., Samoila, C., Jinga, V., & Altoe, F. (2017). The Future of “Hardware – Software Reconfigurable.” In Interactive Collaborative Learning (pp. 269–275). Springer International Publishing. https://doi.org/10.1007/978-3-319-50340-0_23","Ursutiu, D., C. Samoila, V. Jinga, and F. Altoe. 2017. “The Future of ‘Hardware – Software Reconfigurable.’” Interactive Collaborative Learning. Springer International Publishing. https://doi.org/10.1007/978-3-319-50340-0_23.","Ursutiu, D. et al. (2017) “The Future of ‘Hardware – Software Reconfigurable,’” Interactive Collaborative Learning. Springer International Publishing. Available at: https://doi.org/10.1007/978-3-319-50340-0_23.","Ursutiu D, Samoila C, Jinga V, Altoe F. The Future of “Hardware – Software Reconfigurable.” Interactive Collaborative Learning 2017:269–75. https://doi.org/10.1007/978-3-319-50340-0_23."
"10.1590/S0100-39842014000200012","Paiva, Omir Antunes, and Renata de Oliveira Moreira. “Raspberry Pi: A 35-Dollar Device for Viewing DICOM Images.” Radiologia Brasileira, vol. 47, no. 2, FapUNIFESP (SciELO), Apr. 2014, pp. 99–100. Crossref, https://doi.org/10.1590/s0100-39842014000200012.","Paiva, O. A., & Moreira, R. de O. (2014). Raspberry Pi: a 35-dollar device for viewing DICOM images. In Radiologia Brasileira (Vol. 47, Issue 2, pp. 99–100). FapUNIFESP (SciELO). https://doi.org/10.1590/s0100-39842014000200012","Paiva, Omir Antunes, and Renata de Oliveira Moreira. 2014. “Raspberry Pi: A 35-Dollar Device for Viewing DICOM Images.” Radiologia Brasileira. FapUNIFESP (SciELO). https://doi.org/10.1590/s0100-39842014000200012.","Paiva, O.A. and Moreira, R. de O. (2014) “Raspberry Pi: a 35-dollar device for viewing DICOM images,” Radiologia Brasileira. FapUNIFESP (SciELO). Available at: https://doi.org/10.1590/s0100-39842014000200012.","Paiva OA, Moreira R de O. Raspberry Pi: a 35-dollar device for viewing DICOM images. Radiol Bras 2014;47:99–100. https://doi.org/10.1590/s0100-39842014000200012."
"10.35940/ijitee.I1078.0789S219","“Research and Design Voice Control Camera Using Raspberry PI.” International Journal of Innovative Technology and Exploring Engineering, vol. 8, no. 9S2, Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP, 31 Aug. 2019, pp. 361–63. Crossref, https://doi.org/10.35940/ijitee.i1078.0789s219.","Research and Design Voice Control Camera using Raspberry PI. (2019). In International Journal of Innovative Technology and Exploring Engineering (Vol. 8, Issue 9S2, pp. 361–363). Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP. https://doi.org/10.35940/ijitee.i1078.0789s219","“Research and Design Voice Control Camera Using Raspberry PI.” 2019. International Journal of Innovative Technology and Exploring Engineering. Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP. https://doi.org/10.35940/ijitee.i1078.0789s219.","“Research and Design Voice Control Camera using Raspberry PI” (2019) International Journal of Innovative Technology and Exploring Engineering. Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP. Available at: https://doi.org/10.35940/ijitee.i1078.0789s219.","Research and Design Voice Control Camera using Raspberry PI. IJITEE 2019;8:361–3. https://doi.org/10.35940/ijitee.i1078.0789s219."
"10.1109/ICCMC.2019.8819718","Jadhav, Anurag P., and V. B. Malode. “Raspberry PI Based OFFLINE MEDIA SERVER.” 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC), IEEE, Mar. 2019. Crossref, https://doi.org/10.1109/iccmc.2019.8819718.","Jadhav, A. P., & Malode, V. B. (2019). Raspberry PI Based OFFLINE MEDIA SERVER. In 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC). 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC). IEEE. https://doi.org/10.1109/iccmc.2019.8819718","Jadhav, Anurag P., and V.B. Malode. 2019. “Raspberry PI Based OFFLINE MEDIA SERVER.” 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC). IEEE. https://doi.org/10.1109/iccmc.2019.8819718.","Jadhav, A.P. and Malode, V.B. (2019) “Raspberry PI Based OFFLINE MEDIA SERVER,” 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC). 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC), IEEE. Available at: https://doi.org/10.1109/iccmc.2019.8819718.","Jadhav AP, Malode VB. Raspberry PI Based OFFLINE MEDIA SERVER. 2019 3rd International Conference on Computing Methodologies and Communication (ICCMC) 2019. https://doi.org/10.1109/iccmc.2019.8819718."
"10.1109/ICACCI.2015.7275764","Sandeep, V., et al. “Globally Accessible Machine Automation Using Raspberry Pi Based on Internet of Things.” 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI), IEEE, Aug. 2015. Crossref, https://doi.org/10.1109/icacci.2015.7275764.","Sandeep, V., Gopal, K. L., Naveen, S., Amudhan, A., & Kumar, L. S. (2015). Globally accessible machine automation using Raspberry pi based on Internet of Things. In 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI). 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI). IEEE. https://doi.org/10.1109/icacci.2015.7275764","Sandeep, V., K. Lalith Gopal, S. Naveen, A. Amudhan, and L. S. Kumar. 2015. “Globally Accessible Machine Automation Using Raspberry Pi Based on Internet of Things.” 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI). IEEE. https://doi.org/10.1109/icacci.2015.7275764.","Sandeep, V. et al. (2015) “Globally accessible machine automation using Raspberry pi based on Internet of Things,” 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI). 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI), IEEE. Available at: https://doi.org/10.1109/icacci.2015.7275764.","Sandeep V, Gopal KL, Naveen S, Amudhan A, Kumar LS. Globally accessible machine automation using Raspberry pi based on Internet of Things. 2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI) 2015. https://doi.org/10.1109/icacci.2015.7275764."
"10.1007/978-981-10-1678-3_60","Krishna Chaitanya, et al. “Multiple Home Automation on Raspberry Pi.” Proceedings of the International Conference on Data Engineering and Communication Technology, Springer Singapore, 25 Aug. 2016, pp. 631–39. Crossref, https://doi.org/10.1007/978-981-10-1678-3_60.","Krishna Chaitanya, G. Karudaiyar, C. Deepak, & Reddy, S. B. (2016). Multiple Home Automation on Raspberry Pi. In Proceedings of the International Conference on Data Engineering and Communication Technology (pp. 631–639). Springer Singapore. https://doi.org/10.1007/978-981-10-1678-3_60","Krishna Chaitanya, G. Karudaiyar, C. Deepak, and Sainath Bhumi Reddy. 2016. “Multiple Home Automation on Raspberry Pi.” Proceedings of the International Conference on Data Engineering and Communication Technology. Springer Singapore. https://doi.org/10.1007/978-981-10-1678-3_60.","Krishna Chaitanya et al. (2016) “Multiple Home Automation on Raspberry Pi,” Proceedings of the International Conference on Data Engineering and Communication Technology. Springer Singapore. Available at: https://doi.org/10.1007/978-981-10-1678-3_60.","Krishna Chaitanya, G. Karudaiyar, C. Deepak, Reddy SB. Multiple Home Automation on Raspberry Pi. Proceedings of the International Conference on Data Engineering and Communication Technology 2016:631–9. https://doi.org/10.1007/978-981-10-1678-3_60."
"10.1109/ICAECT54875.2022.9808040","Korom, Szilard, and Zoltan Illes. “Methods of Teaching Programming with Raspberry Pi.” 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT), IEEE, 21 Apr. 2022. Crossref, https://doi.org/10.1109/icaect54875.2022.9808040.","Korom, S., & Illes, Z. (2022). Methods of teaching programming with Raspberry Pi. In 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT). 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT). IEEE. https://doi.org/10.1109/icaect54875.2022.9808040","Korom, Szilard, and Zoltan Illes. 2022. “Methods of Teaching Programming with Raspberry Pi.” 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT). IEEE. https://doi.org/10.1109/icaect54875.2022.9808040.","Korom, S. and Illes, Z. (2022) “Methods of teaching programming with Raspberry Pi,” 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT). 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT), IEEE. Available at: https://doi.org/10.1109/icaect54875.2022.9808040.","Korom S, Illes Z. Methods of teaching programming with Raspberry Pi. 2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT) 2022. https://doi.org/10.1109/icaect54875.2022.9808040."
"10.1109/GET.2015.7453790","Princy, S. Emima, and K. Gerard Joe Nigel. “Implementation of Cloud Server for Real Time Data Storage Using Raspberry Pi.” 2015 Online International Conference on Green Engineering and Technologies (IC-GET), IEEE, Nov. 2015. Crossref, https://doi.org/10.1109/get.2015.7453790.","Princy, S. E., & Nigel, K. G. J. (2015). Implementation of cloud server for real time data storage using Raspberry Pi. In 2015 Online International Conference on Green Engineering and Technologies (IC-GET). 2015 Online International Conference on Green Engineering and Technologies (IC-GET). IEEE. https://doi.org/10.1109/get.2015.7453790","Princy, S. Emima, and K. Gerard Joe Nigel. 2015. “Implementation of Cloud Server for Real Time Data Storage Using Raspberry Pi.” 2015 Online International Conference on Green Engineering and Technologies (IC-GET). IEEE. https://doi.org/10.1109/get.2015.7453790.","Princy, S.E. and Nigel, K.G.J. (2015) “Implementation of cloud server for real time data storage using Raspberry Pi,” 2015 Online International Conference on Green Engineering and Technologies (IC-GET). 2015 Online International Conference on Green Engineering and Technologies (IC-GET), IEEE. Available at: https://doi.org/10.1109/get.2015.7453790.","Princy SE, Nigel KGJ. Implementation of cloud server for real time data storage using Raspberry Pi. 2015 Online International Conference on Green Engineering and Technologies (IC-GET) 2015. https://doi.org/10.1109/get.2015.7453790."
"10.1109/ISITIA.2018.8711237","Kurniawati, Nazmia, et al. “Raspberry Pi-Based VoIP System For Rural Area.” 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA), IEEE, Aug. 2018. Crossref, https://doi.org/10.1109/isitia.2018.8711237.","Kurniawati, N., Affandi, A., Pratomo, I., & Gyoda, K. (2018). Raspberry Pi-Based VoIP System For Rural Area. In 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA). 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA). IEEE. https://doi.org/10.1109/isitia.2018.8711237","Kurniawati, Nazmia, Achmad Affandi, Istas Pratomo, and Koichi Gyoda. 2018. “Raspberry Pi-Based VoIP System For Rural Area.” 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA). IEEE. https://doi.org/10.1109/isitia.2018.8711237.","Kurniawati, N. et al. (2018) “Raspberry Pi-Based VoIP System For Rural Area,” 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA). 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA), IEEE. Available at: https://doi.org/10.1109/isitia.2018.8711237.","Kurniawati N, Affandi A, Pratomo I, Gyoda K. Raspberry Pi-Based VoIP System For Rural Area. 2018 International Seminar on Intelligent Technology and Its Applications (ISITIA) 2018. https://doi.org/10.1109/isitia.2018.8711237."
"10.1145/2537052.2537068","Cuomo, Francesco, et al. “Leveraging Raspberry Pi for Interactive Education.” Proceedings of the 4th Annual Symposium on Computing for Development, ACM, 6 Dec. 2013. Crossref, https://doi.org/10.1145/2537052.2537068.","Cuomo, F., Mibuari, E., Weldemariam, K., & Stewart, O. (2013). Leveraging Raspberry Pi for interactive education. In Proceedings of the 4th Annual Symposium on Computing for Development. ACM DEV-4: Annual Symposium on Computing for Development. ACM. https://doi.org/10.1145/2537052.2537068","Cuomo, Francesco, Eric Mibuari, Komminist Weldemariam, and Osamuyimen Stewart. 2013. “Leveraging Raspberry Pi for Interactive Education.” Proceedings of the 4th Annual Symposium on Computing for Development. ACM. https://doi.org/10.1145/2537052.2537068.","Cuomo, F. et al. (2013) “Leveraging Raspberry Pi for interactive education,” Proceedings of the 4th Annual Symposium on Computing for Development. ACM DEV-4: Annual Symposium on Computing for Development, ACM. Available at: https://doi.org/10.1145/2537052.2537068.","Cuomo F, Mibuari E, Weldemariam K, Stewart O. Leveraging Raspberry Pi for interactive education. Proceedings of the 4th Annual Symposium on Computing for Development 2013. https://doi.org/10.1145/2537052.2537068."
"10.1049/et.2013.0302","Andrews, C. “Easy as Pi [Raspberry Pi].” Engineering &amp; Technology, vol. 8, no. 3, Institution of Engineering and Technology (IET), 1 Apr. 2013, pp. 34–37. Crossref, https://doi.org/10.1049/et.2013.0302.","Andrews, C. (2013). Easy as Pi [Raspberry Pi]. In Engineering &amp; Technology (Vol. 8, Issue 3, pp. 34–37). Institution of Engineering and Technology (IET). https://doi.org/10.1049/et.2013.0302","Andrews, C. 2013. “Easy as Pi [Raspberry Pi].” Engineering &amp; Technology. Institution of Engineering and Technology (IET). https://doi.org/10.1049/et.2013.0302.","Andrews, C. (2013) “Easy as Pi [Raspberry Pi],” Engineering &amp; Technology. Institution of Engineering and Technology (IET). Available at: https://doi.org/10.1049/et.2013.0302.","Andrews C. Easy as Pi [Raspberry Pi]. Engineering &amp; Technology 2013;8:34–7. https://doi.org/10.1049/et.2013.0302."
"10.1007/978-981-10-8575-8_2","Alex David, S., et al. “Raspberry Pi in Computer Science and Engineering Education.” Lecture Notes in Electrical Engineering, Springer Singapore, 2018, pp. 11–16. Crossref, https://doi.org/10.1007/978-981-10-8575-8_2.","Alex David, S., Ravikumar, S., & Rizwana Parveen, A. (2018). Raspberry Pi in Computer Science and Engineering Education. In Lecture Notes in Electrical Engineering (pp. 11–16). Springer Singapore. https://doi.org/10.1007/978-981-10-8575-8_2","Alex David, S., S. Ravikumar, and A. Rizwana Parveen. 2018. “Raspberry Pi in Computer Science and Engineering Education.” Lecture Notes in Electrical Engineering. Springer Singapore. https://doi.org/10.1007/978-981-10-8575-8_2.","Alex David, S., Ravikumar, S. and Rizwana Parveen, A. (2018) “Raspberry Pi in Computer Science and Engineering Education,” Lecture Notes in Electrical Engineering. Springer Singapore. Available at: https://doi.org/10.1007/978-981-10-8575-8_2.","Alex David S, Ravikumar S, Rizwana Parveen A. Raspberry Pi in Computer Science and Engineering Education. Lecture Notes in Electrical Engineering 2018:11–6. https://doi.org/10.1007/978-981-10-8575-8_2."
"10.18080/jtde.v10n2.530","Bin Hamed, Rhouma, and Tarek Fatnassi. “Secure Attendance System Using Raspberry Pi Face Recognition.” Journal of Telecommunications and the Digital Economy, vol. 10, no. 2, Telecommunications Association Inc., 10 June 2022, pp. 62–75. Crossref, https://doi.org/10.18080/jtde.v10n2.530.","Bin Hamed, R., & Fatnassi, T. (2022). Secure Attendance System using Raspberry Pi Face Recognition. In Journal of Telecommunications and the Digital Economy (Vol. 10, Issue 2, pp. 62–75). Telecommunications Association Inc. https://doi.org/10.18080/jtde.v10n2.530","Bin Hamed, Rhouma, and Tarek Fatnassi. 2022. “Secure Attendance System Using Raspberry Pi Face Recognition.” Journal of Telecommunications and the Digital Economy. Telecommunications Association Inc. https://doi.org/10.18080/jtde.v10n2.530.","Bin Hamed, R. and Fatnassi, T. (2022) “Secure Attendance System using Raspberry Pi Face Recognition,” Journal of Telecommunications and the Digital Economy. Telecommunications Association Inc. Available at: https://doi.org/10.18080/jtde.v10n2.530.","Bin Hamed R, Fatnassi T. Secure Attendance System using Raspberry Pi Face Recognition. JTDE 2022;10:62–75. https://doi.org/10.18080/jtde.v10n2.530."
"10.1007/978-3-662-45109-0_8","Lorenz, Hermann, et al. “Der Raspberry Pi Als Plattform Für Fluoreszenzmessungen Unter Echtzeitbedingungen.” Industrie 4.0 Und Echtzeit, Springer Berlin Heidelberg, 2014, pp. 71–80. Crossref, https://doi.org/10.1007/978-3-662-45109-0_8.","Lorenz, H., Sonntag, F., Krätzer, L., Berthold, C., & Baumgartl, R. (2014). Der Raspberry Pi als Plattform für Fluoreszenzmessungen unter Echtzeitbedingungen. In Industrie 4.0 und Echtzeit (pp. 71–80). Springer Berlin Heidelberg. https://doi.org/10.1007/978-3-662-45109-0_8","Lorenz, Hermann, Frank Sonntag, Lutz Krätzer, Christian Berthold, and Robert Baumgartl. 2014. “Der Raspberry Pi Als Plattform Für Fluoreszenzmessungen Unter Echtzeitbedingungen.” Industrie 4.0 Und Echtzeit. Springer Berlin Heidelberg. https://doi.org/10.1007/978-3-662-45109-0_8.","Lorenz, H. et al. (2014) “Der Raspberry Pi als Plattform für Fluoreszenzmessungen unter Echtzeitbedingungen,” Industrie 4.0 und Echtzeit. Springer Berlin Heidelberg. Available at: https://doi.org/10.1007/978-3-662-45109-0_8.","Lorenz H, Sonntag F, Krätzer L, Berthold C, Baumgartl R. Der Raspberry Pi als Plattform für Fluoreszenzmessungen unter Echtzeitbedingungen. Industrie 40 Und Echtzeit 2014:71–80. https://doi.org/10.1007/978-3-662-45109-0_8."
